destination,source,balance
Kazakhstan,Andorra,9467
Kyrgyzstan,Andorra,1204
Cambodia,Andorra,9277
St Kitts and Nevis,Andorra,21
South Korea,Andorra,129791
Kuwait,Andorra,832615
Laos,Andorra,14
Lebanon,Andorra,631957
Sri Lanka,Andorra,28
Lithuania,Andorra,5553
Luxembourg,Andorra,300464
Macau,Andorra,26584
Morocco,Andorra,4207
Moldova,Andorra,1202
Madagascar,Andorra,36147
Maldives,Andorra,23
Mexico,Andorra,96202
Macedonia,Andorra,15
Malta,Andorra,930
Mongolia,Andorra,1723
Northern Mariana Islands,Andorra,293
Mauritius,Andorra,66
Malaysia,Andorra,2456
New Caledonia,Andorra,53
Niger,Andorra,176
Nigeria,Andorra,5251
Netherlands,Andorra,2404254
Norway,Andorra,4835881
New Zealand,Andorra,10476
Panama,Andorra,9226
Peru,Andorra,7426
Philippines,Andorra,1150
Poland,Andorra,59552
North Korea,Andorra,4404
Portugal,Andorra,102899
Paraguay,Andorra,20017
French Polynesia,Andorra,264
Qatar,Andorra,21902
Romania,Andorra,61862
Russia,Andorra,267011
Saudi Arabia,Andorra,56158
Singapore,Andorra,28434
El Salvador,Andorra,117517
Sao Tome And Principe,Andorra,142117
Slovakia,Andorra,3789
Slovenia,Andorra,11003
Sweden,Andorra,236874
Togo,Andorra,23
Thailand,Andorra,12357
Turkey,Andorra,4149
Ukraine,Andorra,5494
Uruguay,Andorra,235
Uzbekistan,Andorra,857
Vietnam,Andorra,867
South Africa,Andorra,2806
Aruba,United Arab Emirates,2946038
Afghanistan,United Arab Emirates,1832789547
Angola,United Arab Emirates,536504753
Anguilla,United Arab Emirates,57018
Albania,United Arab Emirates,19667759
Andorra,United Arab Emirates,23447
Argentina,United Arab Emirates,52414590
Armenia,United Arab Emirates,180346542
Antigua and Barbuda,United Arab Emirates,1468351
Australia,United Arab Emirates,757438780
Austria,United Arab Emirates,66761896
Azerbaijan,United Arab Emirates,261679911
Burundi,United Arab Emirates,16198880
Belgium,United Arab Emirates,4474685194
Benin,United Arab Emirates,161938347
Burkina Faso,United Arab Emirates,69582985
Bangladesh,United Arab Emirates,1155133470
Bulgaria,United Arab Emirates,65238606
Bahrain,United Arab Emirates,4424822224
Bahamas,United Arab Emirates,4888625
Bosnia And Herzegovina,United Arab Emirates,2554535
Belarus,United Arab Emirates,10954641
Belize,United Arab Emirates,17183634
Bermuda,United Arab Emirates,2223516
Bolivia,United Arab Emirates,3110276
Brazil,United Arab Emirates,129200843
Barbados,United Arab Emirates,432995
Brunei,United Arab Emirates,13164339
Bhutan,United Arab Emirates,9591605
Botswana,United Arab Emirates,48835694
Central African Republic,United Arab Emirates,10335639
Canada,United Arab Emirates,298398239
Switzerland,United Arab Emirates,9413879280
Chile,United Arab Emirates,90431460
China,United Arab Emirates,5115681481
Ivory Coast,United Arab Emirates,174556156
Cameroon,United Arab Emirates,143591220
Congo,United Arab Emirates,256874403
Republic of the Congo,United Arab Emirates,147595648
Cook Islands,United Arab Emirates,142248
Colombia,United Arab Emirates,42849247
Comoros,United Arab Emirates,50446566
Cape Verde,United Arab Emirates,1415625
Costa Rica,United Arab Emirates,7598826
Cuba,United Arab Emirates,7778025
Curacao,United Arab Emirates,2773453
Cayman Islands,United Arab Emirates,251674
Cyprus,United Arab Emirates,92429969
